# RSA Shared Prime Attack Results
# Format: original_number, factorized_part, shared_prime
# Each vulnerable pair generates two lines

4255963390139605915570905898509016491517, 59943238105208523313, 70999891308337600909
4259702294279484282546765619546493737223, 59995898807513560547, 70999891308337600909
4190961108310656260020189517117812310263, 69854126558827435229, 59995898807513560547
4259702294279484282546765619546493737223, 70999891308337600909, 59995898807513560547
4543600240642005721817779348954148611487, 71101480509286903099, 63903032793368408813
3717516335811786851308987560472325116093, 58174333412820044561, 63903032793368408813
4543600240642005721817779348954148611487, 63903032793368408813, 71101480509286903099
3690447981284208807331272902795044361663, 51903954106865353037, 71101480509286903099
4194199321809194394756238221351543005309, 59551969527584147233, 70429229378659998173
4454084369385330277856328865780518854591, 63241986440574549067, 70429229378659998173
4194199321809194394756238221351543005309, 70429229378659998173, 59551969527584147233
2499403429640091030614065525196968807163, 41970122054189677211, 59551969527584147233
4493852226653612678313905898881713595887, 69229724788129385059, 64912178120115250693
2922407017810011032199860639315969187853, 45020936016078678121, 64912178120115250693
4493852226653612678313905898881713595887, 64912178120115250693, 69229724788129385059
3591241586387589009223878190699356352883, 51874272176846332337, 69229724788129385059
3217076913057042195337856223953988458297, 67232911402629811777, 47849733797653248761
2667083097168207197502294363897966161927, 55738723823349924607, 47849733797653248761
3165367937166015917863240349476310908909, 56789386624599898387, 55738723823349924607
2667083097168207197502294363897966161927, 47849733797653248761, 55738723823349924607
2283747519711889737016938406758190370473, 49027363702578838529, 46581079365516948137
2079036528674958621760577427786487560319, 44632639625221485287, 46581079365516948137
2283747519711889737016938406758190370473, 46581079365516948137, 49027363702578838529
3146869576753947300121606574294616259823, 64185983889409538287, 49027363702578838529
1839428724052727153736646821587337021197, 37967101111775314573, 48447963373275215489
2072267305197027610887751717161807272309, 42773053001854939381, 48447963373275215489
1751201039579476723615007096539347805159, 40941689140205455339, 42773053001854939381
2072267305197027610887751717161807272309, 48447963373275215489, 42773053001854939381
1942971602464881276636224667576016632563, 38240943209466316717, 50808673620370071839
2037363887726535897803866707443761793957, 40098741859494667963, 50808673620370071839
2942162014804110301934178053021692949087, 67701265743208512439, 43458006028480417433
1608249290606950742078256005071596885869, 37006973802548066293, 43458006028480417433
2037363887726535897803866707443761793957, 50808673620370071839, 40098741859494667963
2791148421111238151352260952867342196093, 69606882701990409511, 40098741859494667963
1790202609350999897396935147426863757631, 48374736580804612067, 37006973802548066293
1608249290606950742078256005071596885869, 43458006028480417433, 37006973802548066293
3490784992165715986084973741792543508953, 53747186053819151911, 64948237265300865023
2893880408976840537936169355130834687097, 44556719794501954439, 64948237265300865023
2893880408976840537936169355130834687097, 64948237265300865023, 44556719794501954439
2819250526704959742837323716253182262867, 63273296142703018453, 44556719794501954439
